sample_id,task_id,condition,mode,layer,head,token_index,left_token_id,right_token_id,cosine_similarity
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,0,37,37,0.9516534805297852
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,1,82276,82276,0.9250808954238892
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,2,12711,12711,0.8974000215530396
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,3,50697,50697,0.9450147151947021
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,4,430,430,0.9996862411499023
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,5,81823,81823,0.8958775401115417
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,6,48,48,0.9903438091278076
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,7,279,279,0.9910910129547119
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,8,2363,2363,0.9234758019447327
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,9,574,574,0.9938513040542603
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,10,264,264,0.9986597895622253
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,11,330,330,0.9492914080619812
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,12,78856,78856,0.9194008111953735
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,13,81823,81823,0.952865719795227
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,14,48,48,0.9918740391731262
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,15,73944,73944,0.9830562472343445
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,16,330,330,0.9532991051673889
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,17,662,662,0.9517868757247925
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,18,1283,1283,0.9672427177429199
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_output,0,0,19,3010,3010,0.980038046836853
