sample_id,task_id,condition,mode,layer,head,token_index,left_token_id,right_token_id,cosine_similarity,instruction_entropy,kl_instruction_to_lora,kl_lora_to_instruction,lora_entropy
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,0,37,37,0.00017960387049242854,0.9567594528198242,26.596393585205078,8.719964981079102,0.9344329833984375
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,1,82276,82276,0.03578818961977959,2.855452299118042,21.489418029785156,3.4008593559265137,2.6531033515930176
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,2,12711,12711,0.04807756468653679,2.9231183528900146,20.68593978881836,3.036625623703003,2.6989641189575195
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,3,50697,50697,0.08627845346927643,2.947817325592041,20.056413650512695,2.758495330810547,2.7527432441711426
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,4,430,430,0.00027147942455485463,0.5804418325424194,27.02783966064453,8.450725555419922,0.5758689641952515
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,5,81823,81823,0.15767768025398254,3.414872407913208,17.110864639282227,2.1761250495910645,3.1723601818084717
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,6,48,48,0.0052051362581551075,2.0351123809814453,24.346920013427734,5.061825752258301,1.8776452541351318
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,7,279,279,9.085782221518457e-05,0.7804272770881653,26.875652313232422,12.366528511047363,0.8167097568511963
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,8,2363,2363,0.03261203318834305,2.7221105098724365,20.649791717529297,3.3434207439422607,2.555305004119873
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,9,574,574,0.0005881505203433335,1.586568832397461,25.82741928100586,7.394680500030518,1.5717030763626099
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,10,264,264,1.3354017028177623e-05,0.15153717994689941,27.467275619506836,11.13879680633545,0.1486613154411316
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,11,330,330,0.009862739592790604,2.1358413696289062,24.297496795654297,4.872043609619141,2.071077585220337
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,12,78856,78856,0.17751218378543854,3.692500114440918,15.918327331542969,1.6656831502914429,3.4474332332611084
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,13,81823,81823,0.06437518447637558,3.314764976501465,19.073104858398438,2.642645835876465,3.10508394241333
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,14,48,48,0.0049742441624403,2.0468997955322266,24.727340698242188,5.058830738067627,1.9283740520477295
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,15,73944,73944,0.036063846200704575,2.9332146644592285,21.847591400146484,3.1770944595336914,2.803083658218384
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,16,330,330,0.0095591489225626,2.3875417709350586,23.727298736572266,4.599931240081787,2.3480944633483887
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,17,662,662,0.007495843805372715,1.9908071756362915,23.261653900146484,4.5700297355651855,1.9015252590179443
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,18,1283,1283,0.006096584256738424,1.7402547597885132,24.975454330444336,5.438339710235596,1.7222779989242554
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,19,3010,3010,0.02777964435517788,2.4271976947784424,23.459484100341797,4.054626941680908,2.3506901264190674
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,20,1200,1200,0.22634492814540863,3.1791305541992188,17.414552688598633,2.464245557785034,3.0496585369110107
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,21,1619,1619,0.0011915090726688504,0.419935017824173,27.15117073059082,6.727678298950195,0.4291997253894806
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,22,430,430,0.0011379814241081476,0.8620098829269409,26.606361389160156,7.822645664215088,0.852972686290741
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,23,81823,81823,0.19347414374351501,3.518378496170044,12.09146785736084,2.1073992252349854,3.4954049587249756
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,24,48,48,0.018560921773314476,1.365635633468628,7.291576862335205,6.192093849182129,1.8701183795928955
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,25,1174,1174,0.09446500241756439,2.311664581298828,11.268299102783203,3.72269868850708,2.824505090713501
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,26,1418,1418,0.016672853380441666,0.9819862842559814,3.6241769790649414,5.960015296936035,1.6913187503814697
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,27,32284,32284,0.16897034645080566,2.9144439697265625,7.269646644592285,2.2209463119506836,3.3730618953704834
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,28,364,364,0.02943902276456356,1.147061824798584,4.441400051116943,5.187984943389893,1.9939817190170288
add_zxq_after_t_or_l-000931,add_zxq_after_t_or_l,instruction_only_vs_lora_only,attention_pattern,0,0,29,82,82,0.03170209750533104,0.05562448501586914,0.12835244834423065,9.11782455444336,1.0097328424453735
